Season;Driver;Age;Chassis;Engine;Tyres;Poles;Wins;Podiums;Fastest laps;Points (Tot);% Points;Clinched;# of roundsremaining;Margin (second place finisher);% Margin
1952;Alberto Ascari;34;Ferrari;Ferrari;F/P;5;6;6;6;36;74,306;Round 6 of 8;2;12;33,333
1953;Alberto Ascari;35;Ferrari;Ferrari;P;6;5;5;4;34,5;57,407;Round 8 of 9;1;6,5;18,841
1955;Juan Manuel Fangio;44;Mercedes;Mercedes;C;3;4;5;3;40;65,079;Round 6 of 7;1;16,5;41,25
1956;Juan Manuel Fangio;45;Ferrari;Ferrari;E;6;3;5;4;30;45,833;Round 8 of 8;0;3;10
1958;Mike Hawthorn;29;Ferrari;Ferrari;E;4;1;7;5;42;49,495;Round 11 of 11;0;1;2,381
1961;Phil Hill;34;Ferrari;Ferrari;D;5;2;6;2;34;52,778;Round 7 of 8;1;1;2,941
1964;John Surtees;30;Ferrari;Ferrari;D;2;2;6;2;40;44,444;Round 10 of 10;0;1;2,5
1974;Emerson Fittipaldi;27;McLaren;Ford;G;2;3;7;0;55;40,741;Round 15 of 15;0;3;5,455
1975;Niki Lauda;26;Ferrari;Ferrari;G;9;5;8;2;64,5;55,128;Round 13 of 14;1;19,5;30,233
1976;James Hunt;29;McLaren;Ford;G;8;6;8;2;69;47,917;Round 16 of 16;0;1;1,449
1977;Niki Lauda;28;Ferrari;Ferrari;G;2;3;10;3;72;47,059;Round 15 of 17;2;17;23,611
1979;Jody Scheckter;29;Ferrari;Ferrari;M;1;3;6;0;51;44,444;Round 13 of 15;2;4;7,843
1980;Alan Jones;34;Williams;Ford;G;3;5;10;5;67;56,349;Round 13 of 14;1;13;19,403
1982;Keke Rosberg;34;Williams;Ford;G;1;1;6;0;44;30,556;Round 16 of 16;0;5;11,364
1984;Niki Lauda;35;McLaren;TAG;M;0;5;9;5;72;51,613;Round 16 of 16;0;0,5;0,694
1985;Alain Prost;30;McLaren;TAG;G;2;5;11;5;73;52,778;Round 14 of 16;2;20;27,397
1986;Alain Prost;31;McLaren;TAG;G;1;4;11;2;72;51,389;Round 16 of 16;0;2;2,778
