Year,Title,Genre,Worldwide gross,Budget
1915,The Birth of a Nation,Dramma storico,43800000,110000
1916,Intolerance,Dramma epico,1750000,385907
1917,Cleopatra,Dramma storico,500000,3000000
1918,Mickey,Commedia drammatica,8000000,250000
1919,The Miracle Man,Dramma,3000000,120000
1920,Way Down East,Dramma romantico,4500000,800000
1921,The Four Horsemen of the Apocalypse,Dramma di guerra,4500000,700000
1922,Douglas Fairbanks in Robin Hood,Avventura,2500000,930043
1923,The Covered Wagon,Western,5000000,800000
1924,The Sea Hawk,Avventura,3000000,700000
1925,The Big Parade,Dramma di guerra,15377000,382000
1925,Ben-Hur,Dramma storico,10062000,3967000
1926,For Heaven's Sake,Commedia romantica,2600000,150000
1927,Wings,Dramma di guerra,3600000,2000000
1928,The Singing Fool,Dramma musicale,5900000,388000
1929,The Broadway Melody,Musical,4600000,379000
1929,Sunny Side Up,Musical,3500000,600000
1930,All Quiet on the Western Front,Dramma di guerra,3000000,1250000
1931,Frankenstein,Horror,6700000,250000
1931,City Lights,Commedia romantica,5000000,1607351
1932,The Sign of the Cross,Dramma storico,2738993,694065
1993,King Kong,Avventura/fantasy,3601500,672256
1933,I'm No Angel,Commedia romantica,3250000,200000
1933,Cavalcade,Dramma storico,3500000,1116000
1933,She Done Him Wrong,Commedia,3000000,274076
1934,The Merry Widow,Musical,2608000,1605000
1934,It Happened One Night,Commedia romantica,2500000,325000
1935,Mutiny on the Bounty,Dramma storico,4460000,1905000
1936,San Francisco,Dramma romantico,5658500,1300000
1937,Snow White and the Seven Dwarfs,Animazione/fantasy,142166669,1488423
1938,You Can't Take It with You,Commedia romantica,5000000,1200000
1939,Gone with the Wind,Dramma storico,274959257,4075000
1940,Pinocchio,Animazione/fantasy,45250431,2600000
1940,Boom Town,Dramma,4600000,2100000
1941,Sergeant York,Dramma di guerra,7800000,1600000
1942,Bambi,Animazione/dramma,135723598,1850000
1942,Mrs. Miniver,Dramma di guerra,8878000,1344000
1943,For Whom the Bell Tolls,Dramma di guerra,11000000,2681298
1943,This Is the Army,Musical di guerra,9555586,1400000
1944,Going My Way,Dramma musicale,6500000,1000000
1945,Mom and Dad,Dramma educativo,51000000,65000
1945,The Bells of St. Mary's,Dramma,11200000,1600000
1946,Song of the South,Musical,34150000,2125000
