Year,Title,Worldwide gross
2010,Alice in Wonderland,1.025.468.216
2011,Transformers: Dark of the Moon,1.123.794.079
2011,Pirates of the Caribbean: On Stranger Tides,1.045.713.802
2012,Skyfall,1.108.569.499
2012,The Dark Knight Rises,1.081.169.825
2012,The Hobbit: An Unexpected Journey,1.017.030.651
2013,Iron Man 3,1.214.811.252
2015,Jurassic World,1.671.537.444
2015,Furious 7,1.515.341.399
2015,Avengers: Age of Ultron,1.402.809.540
2015,Minions,1.159.444.662
2016,Rogue One: A Star Wars Story,1.057.420.387
2016,Finding Dory,1.028.570.942
2016,Zootopia,1.023.784.195
2017,Beauty and the Beast,1.263.521.126
2017,Fast & Furious 8,1.238.764.765
2017,Despicable Me 3,1.034.800.131
2018,Black Panther,1.347.280.838
2018,Jurassic World: Fallen Kingdom,1.308.473.425
2018,Incredibles 2,1.242.805.359
2018,Aquaman,1.148.528.393
2019,The Lion King,1.656.943.394
2019,Frozen II,1.450.026.933
2019,Spider-Man: Far From Home,1.131.927.996
2019,Captain Marvel,1.128.274.794
2019,Joker,1.074.458.282
2019,Star Wars: The Rise of Skywalker,1.074.144.248
2019,Toy Story 4,1.073.394.593
2019,Aladdin,1.050.693.953
2022,Top Gun: Maverick,1.495.696.292
2023,The Super Mario Bros. Movie †,1.362.034.072
