Artist,Title,Wks,PkStreams,Total
The Weeknd ,Blinding Lights,231,52.375.259,4.141.880.965
Ed Sheeran ,Shape of You,333,64.217.796,3.505.561.044
Lewis Capaldi ,Someone You Loved,277,24.962.682,3.278.112.012
Post Malone ,Sunflower - Spider-Man: Into the Spider-Verse,282,34.579.416,3.174.478.975
Harry Styles ,As It Was,109,78.460.903,3.128.136.333
Imagine Dragons ,Believer,373,16.864.827,2.884.310.886
The Kid LAROI ,Stay,138,70.502.410,2.878.390.502
Ed Sheeran ,Perfect,365,24.763.619,2.811.629.732
Glass Animals ,Heat Waves,169,31.668.100,2.767.523.032
Billie Eilish ,lovely,315,14.081.242,2.699.562.134
Tones And I ,Dance Monkey,151,52.055.226,2.538.070.349
Harry Styles ,Watermelon Sugar,212,28.265.526,2.462.315.616
The Weeknd ,Starboy,201,35.360.281,2.414.009.818
Drake ,One Dance,229,47.782.311,2.334.846.772
James Arthur ,Say You Won't Let Go,318,19.297.939,2.233.667.484
The Neighbourhood ,Sweater Weather,217,16.934.686,2.208.410.389
Shawn Mendes ,Señorita,146,67.237.638,2.072.961.200
Post Malone ,rockstar,172,46.995.997,2.072.812.831
Dua Lipa ,Don't Start Now,159,37.779.776,2.052.242.293
Tom Odell ,Another Love,160,20.219.891,1.932.306.955
Miley Cyrus ,Flowers,68,115.156.896,1.924.497.564
Post Malone ,Circles,171,43.379.405,1.905.867.050
Billie Eilish ,bad guy,135,50.342.324,1.896.726.225
Elton John ,Cold Heart - PNAU Remix,134,28.043.005,1.876.989.020
Juice WRLD ,Lucid Dreams,197,27.389.019,1.835.881.201
The Chainsmokers ,Closer,201,46.300.740,1.792.942.076
The Weeknd ,Save Your Tears,170,30.115.082,1.767.220.860
SZA ,Kill Bill,73,55.234.610,1.766.886.330
Lady Gaga ,Shallow,181,31.597.226,1.730.413.820
Vance Joy ,Riptide,299,16.836.644,1.652.601.288
Lil Nas X ,INDUSTRY BABY,81,53.085.371,1.632.867.564
Manuel Turizo ,La Bachata,96,30.443.567,1.621.783.366
Taylor Swift ,Cruel Summer,65,35.517.192,1.619.950.160
Olivia Rodrigo ,good 4 u,78,84.131.760,1.618.703.681
Bad Bunny ,Me Porto Bonito,81,39.839.157,1.595.512.799
OneRepublic ,Counting Stars,310,11.093.985,1.594.898.971
Olivia Rodrigo ,drivers license,98,80.764.045,1.590.283.541
Travis Scott ,goosebumps,245,22.652.793,1.589.176.234
The Weeknd ,Die For You,120,22.988.828,1.586.552.411
Dua Lipa ,Levitating,116,30.358.414,1.576.155.950
David Guetta ,I'm Good (Blue),88,34.345.014,1.573.354.692
The Chainsmokers ,Something Just Like This,205,33.173.199,1.569.749.405
Arctic Monkeys ,I Wanna Be Yours,95,21.021.481,1.562.198.273
Ariana Grande ,7 rings,143,71.467.874,1.547.429.518
XXXTENTACION ,SAD!,163,38.010.231,1.531.066.913
OneRepublic ,I Ain't Worried,100,25.270.059,1.511.749.380
XXXTENTACION ,Jocelyn Flores,217,25.442.646,1.511.632.218
Coldplay ,Yellow,176,16.131.576,1.508.673.294
Taylor Swift ,Anti-Hero,79,82.935.273,1.501.835.240
Mariah Carey ,All I Want for Christmas Is You,74,75.826.005,1.499.818.030
Queen ,Bohemian Rhapsody - Remastered 2011,224,18.440.196,1.484.719.835
Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",68,54.841.779,1.466.812.232
Drake ,God's Plan,104,54.891.573,1.446.481.457
Hozier ,Take Me To Church,247,13.212.580,1.439.786.423
Lil Nas X ,MONTERO (Call Me By Your Name),73,55.582.612,1.435.081.319
Travis Scott ,SICKO MODE,147,33.399.542,1.423.300.401
Justin Bieber ,Ghost,132,17.091.238,1.421.592.342
Jung Kook ,Seven,42,89.748.171,1.394.689.015
SAINt JHN ,Roses - Imanbek Remix,97,35.360.782,1.393.342.289
BTS ,Dynamite,113,39.904.687,1.387.320.531
Maroon 5 ,Memories,127,31.572.344,1.378.872.769
24kGoldn ,Mood,91,41.500.977,1.364.348.925
J. Cole ,No Role Modelz,226,11.091.492,1.360.383.134
Adele ,Easy On Me,88,84.952.932,1.348.667.035
Ed Sheeran ,Bad Habits,78,38.983.802,1.345.540.456
Bad Bunny ,DÁKITI,103,53.344.093,1.340.268.006
Sam Smith ,Unholy,57,53.478.156,1.326.886.078
Ruth B. ,Dandelions,139,11.383.604,1.324.510.834
Doja Cat ,Kiss Me More,80,37.723.231,1.319.804.269
Marshmello ,Happier,117,28.685.390,1.314.561.043
Camila Cabello ,Havana,114,33.129.706,1.305.095.150
Rema ,Calm Down,82,25.338.316,1.295.568.954
John Legend ,All of Me,308,6.405.273,1.261.721.721
Ed Sheeran ,Thinking out Loud,241,12.966.533,1.256.739.061
Conan Gray ,Heather,154,18.431.861,1.256.710.625
Bad Bunny ,Tití Me Preguntó,62,35.141.825,1.251.442.060
Roddy Ricch ,The Box,80,48.937.592,1.251.184.105
