Artist,Streams,Daily,As lead,Solo,As feature
Drake,"98289,0","52323,0","67172,0","37263,9","31117,1"
Taylor Swift,"80666,7","109361,0","78022,0","71276,0","2644,6"
Bad Bunny,"79228,7","42321,0","49044,1","27505,1","30184,6"
The Weeknd,"64247,5","40348,0","51231,4","36083,0","13016,1"
Justin Bieber,"52450,6","19402,0","31284,6","19195,2","21166,0"
Ed Sheeran,"51887,2","14088,0","46166,4","36711,8","5720,8"
Eminem,"47263,0","21177,0","39825,7","24188,9","7437,3"
Ariana Grande,"46378,1","31141,0","38449,1","27391,1","7929,0"
Travis Scott,"45169,5","35962,0","23552,4","17726,3","21617,1"
Kanye West,"45065,9","28540,0","32152,7","21083,8","12913,2"
Post Malone,"42115,5","22423,0","37945,5","20980,6","4170,0"
J Balvin,"41506,3","13248,0","18844,2","6024,5","22662,1"
Rihanna,"40843,7","23870,0","29498,6","19508,5","11345,1"
BTS,"39036,0","13877,0","34788,4","31546,6","4247,6"
Future,"36790,3","33636,0","18283,8","8389,3","18506,6"
Ozuna,"36356,9","12471,0","15417,7","6704,7","20939,2"
Juice WRLD,"35705,8","12623,0","26066,2","20190,4","9639,6"
Nicki Minaj,"34510,4","12371,0","12709,2","7256,9","21801,2"
Kendrick Lamar,"34297,3","59897,0","23169,4","14064,9","11127,9"
Billie Eilish,"33480,7","19340,0","33480,7","29130,6",
Bruno Mars,"31821,5","19961,0","24394,0","20217,7","7427,5"
Chris Brown,"31646,6","14276,0","16801,6","8136,8","14845,0"
Imagine Dragons,"31645,9","17074,0","29864,3","25432,3","1781,6"
Coldplay,"31333,9","15603,0","28667,9","25577,7","2666,0"
XXXTENTACION,"31231,9","15609,0","27172,2","22291,0","4059,8"
Dua Lipa,"31035,5","24974,0","20580,5","16559,0","10455,0"
Daddy Yankee,"30035,4","12061,0","14034,5","7361,6","16000,9"
Khalid,"29718,5","8888,0","15576,0","10314,3","14142,5"
Lil Wayne,"29427,8","11069,0","11156,3","3073,6","18271,4"
21 Savage,"29045,0","22062,0","11685,7","5949,5","17359,2"
David Guetta,"28671,2","17539,0","20807,7","267,9","7863,5"
Anuel AA,"27128,3","16119,0","12615,4","3917,9","14512,9"
Lil Baby,"26423,3","11246,0","13353,8","6215,6","13069,5"
Maroon 5,"26059,4","11851,0","25852,5","16665,6","207,0"
Lana Del Rey,"25720,5","24138,0","23224,9","20810,7","2495,6"
Beyoncé,"25667,2","16990,0","21439,4","16106,4","4227,8"
Lil Uzi Vert,"25369,3","9482,0","16269,0","13004,9","9100,3"
Maluma,"25240,9","9491,0","14139,8","8473,7","11101,2"
Rauw Alejandro,"24693,6","21365,0","13860,5","5466,3","10833,1"
Calvin Harris,"24458,8","13520,0","22666,5","3971,2","1792,3"
J. Cole,"24254,3","13773,0","18224,2","14469,2","6030,1"
Sia,"23939,6","10938,0","16153,6","11845,2","7786,0"
Young Thug,"23750,5","8579,0","7978,3","2002,7","15772,3"
Shawn Mendes,"23699,2","7067,0","23026,0","17715,0","673,2"
Sam Smith,"23340,3","8334,0","19788,7","14768,5","3551,6"
KAROL G,"23058,3","19884,0","16927,5","7683,7","6130,8"
Farruko,"22676,6","7214,0","6191,9","3477,5","16484,7"
Queen,"22122,4","10539,0","22060,9","20362,4","61,5"
SZA,"22088,6","25340,0","14291,1","10898,4","7797,5"
Myke Towers,"21941,5","17567,0","7781,5","5544,0","14160,0"
Doja Cat,"21821,3","13246,0","17847,0","12843,7","3974,3"
Harry Styles,"21531,8","11143,0","21531,8","21531,8",
Lady Gaga,"21270,5","10813,0","20807,0","13938,6","463,6"
Selena Gomez,"21087,6","6887,0","12593,0","9115,9","8494,6"
One Direction,"20877,7","10156,0","20877,7","20794,7",
Ty Dolla $ign,"20739,6","9732,0","4147,2","282,0","16592,4"
Adele,"20590,7","9439,0","20548,5","20416,6","42,2"
Nicky Jam,"20582,8","5134,0","8311,6","2176,8","12271,2"
Halsey,"20534,9","5805,0","11290,2","9980,2","9244,7"
Shakira,"20300,7","12814,0","15399,6","7175,2","4901,1"
Feid,"20104,5","26139,0","10721,7","5843,4","9382,7"
Katy Perry,"19243,0","9812,0","16854,7","12895,5","2388,3"
Wiz Khalifa,"19052,2","5574,0","8646,3","3255,0","10405,9"
The Beatles,"18933,8","9818,0","18931,7","18746,9","2,2"
